ひかり,光,Hikari
しんり,真理,Shinri
,あめ,Ame
,ひと,Hito
,ひとり子,Hitorigo
とり,鳥,Tori
,さあ,Saa
,つち,Tuchi
,ことば,Kotoba
,よい,Yoi
,やさしい,Yasashii
,みんな,Minna
うみ,海,Umi
,ひびけ,Hibike
しゅ,主,Shu
,こども,Kodomo
,さんび,Sanbi
かみ,神,Kami
おか,丘,Oka
とき,時,Toki
あい,愛,Ai
さかな,魚,Sakana
かぜ,風,Kaze
みな,み名,Mina
,さかえ,Sakae
わたし,私,Watashi
あさ,朝,Asa
じゅうじか,十字架,Jujika
,きよく,Kiyoku
,まこと,Makoto
すき,好き,Suki
いえす,イエス,Iesu
めぐみ,恵み,Megumi
みこ,み子,Miko
,たて,Tate
うた,歌,Uta
とも,友,Tomo
でし,弟子,Deshi
,きみ,Kimi
,すすめ,Susume
,この,Kono
がりらや,ガリラヤ,Gariraya
つみ,罪,Tsumi
,たまもの,Tamamono
,いのり,Inori
そら,空,Sora
はな,花,Hana
,いのち,Inochi
,すべて,Subete
おもに,重荷,Omoni
